Route,From Stop,To Stop,Time Period,Avg Delay (min),Std Delay,Sample Count,Speed Reduction %
212,Southbound Deep Cove Rd @ 1400 Block,Southbound Deep Cove Rd @ Strathcona Rd,Morning Rush,0.3125,0.6301769718682332,8,25.80406737749708
412,Vancouver Airport @ South Terminal,Westbound Inglis Dr @ Bell Irving Rd,Morning Rush,0.3125,0.15418543429308795,4,17.154723000311236
189,Southbound Pipeline Rd @ Windsor Gate,Southbound Westwood St @ Lincoln Ave,Midday,0.3125,0.2862189656474503,4,17.12303625434839
403,Southbound No. 3 Rd @ Cook Rd,Southbound No. 3 Rd @ Granville Ave,Midday,0.3125,0.4066656908653398,8,11.221657334562508
160,Eastbound St. Johns St @ Kyle St,Eastbound St. Johns St @ Moody St,Midday,0.3125,0.22519632287935754,12,27.268951844902166
501,Westbound 91A Ave @ 20100 Block,Northbound 200 St @ 92A Ave,Midday,0.3125,0.6728139203587953,8,12.696039504026245
251,Northbound 27 St @ Ottawa Ave,Northbound 27 St @ 28 St,Morning Rush,0.3125,0.47049520798913635,4,25.763174539764968
232,Northbound Brooksbank Ave @ E 5th St,Westbound E Keith Rd @ Brooksbank Ave,Midday,0.3125,0.4321297387488058,4,14.174400342661327
010,Northbound Granville St @ W 71 Ave,Northbound Granville St @ W 70 Ave,Morning Rush,0.312280701754386,0.36054836943973695,19,2.2184168304244847
407,Northbound Gilbert Rd @ Mang Rd,Northbound Gilbert Rd @ Granville Ave,Morning Rush,0.31190476190476196,0.14132779264371526,7,24.949776794429116
255,Westbound Marine Dr @ Hamilton Ave,Westbound Marine Dr @ Mackay Ave,Midday,0.31190476190476196,1.1386604494086983,7,-10.765327568606253
316,Southbound 116 St @ 88 Ave,Southbound 116 St @ 87 Ave,Morning Rush,0.31190476190476196,0.12236643728386053,7,37.29121414373473
406,Eastbound Williams Rd @ 2nd Ave,Eastbound Williams Rd @ No. 1 Rd,Midday,0.31166666666666665,0.6879047630035448,10,6.387013567439683
110,Northbound Nelson Ave @ Newton St,Northbound Nelson Ave @ Dover St,Morning Rush,0.3111111111111111,0.5644564740625366,9,9.477759233958267
791,Westbound Dewdney Trunk Rd @ 205 St,Westbound Dewdney  Trunk Rd @ 203 St,Midday,0.3111111111111111,0.1272937693043289,3,32.14918414918416
361,Eastbound Marine Dr @ Stevens St,Northbound 160 St @ 9th Ave,Morning Rush,0.3111111111111111,0.38494828897552613,6,23.275862390671588
N24,Eastbound Marine Dr @ Bridgman Ave,Eastbound Marine Dr @ Pemberton Ave,Morning Rush,0.3111111111111111,0.2589151155051343,3,37.08211143695015
156,Westbound Brunette Ave @ Lebleu St,Westbound Brunette Ave @ Lougheed Hwy,Morning Rush,0.3111111111111111,0.45736766958890435,6,10.208014492406468
